[2023-06-05 01:53:24,507347] front.INFO  [135c4d3e] [a81945b5] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END [null]  [GET, /txkhvdvm.php?Fox=d3wL7, 2.58.56.72, www.google.com, Mozilla/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 02:42:31,099918] front.INFO  [NULL] [fa777b09] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /, 185.223.152.156, NULL, Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0]
[2023-06-05 02:42:31,100519] front.INFO  [NULL] [fa777b09] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [POST, /, 185.223.152.156, NULL, Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0]
[2023-06-05 02:42:31,109818] front.INFO  [f0ff922b] [fa777b09] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [POST, /, 185.223.152.156, NULL, Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0]
[2023-06-05 02:42:31,131466] front.INFO  [f0ff922b] [fa777b09] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [POST, /, 185.223.152.156, NULL, Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0]
[2023-06-05 02:42:31,132134] front.INFO  [f0ff922b] [fa777b09] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [POST, /, 185.223.152.156, NULL, Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0]
[2023-06-05 02:43:13,382723] front.INFO  [NULL] [cf5154ac] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /_profiler/phpinfo, 185.223.152.163, NULL, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 02:43:13,384107] front.INFO  [NULL] [cf5154ac] [NULL] [LogListener:onKernelException:105] - No route found for "GET /_profiler/phpinfo" [404]  [GET, /_profiler/phpinfo, 185.223.152.163, NULL, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 02:43:13,385716] front.INFO  [ff272c87] [cf5154ac] [NULL] [LogListener:onKernelResponse:86] - LOGIC END [null]  [GET, /_profiler/phpinfo, 185.223.152.163, NULL, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 02:43:13,386005] front.INFO  [ff272c87] [cf5154ac] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END [null]  [GET, /_profiler/phpinfo, 185.223.152.163, NULL, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 02:43:13,932191] front.INFO  [NULL] [a3723a52] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /phpinfo.php, 185.223.152.160, NULL, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 02:43:13,933414] front.INFO  [NULL] [a3723a52] [NULL] [LogListener:onKernelException:105] - No route found for "GET /phpinfo.php" [404]  [GET, /phpinfo.php, 185.223.152.160, NULL, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 02:43:13,934788] front.INFO  [29c3b5ef] [a3723a52] [NULL] [LogListener:onKernelResponse:86] - LOGIC END [null]  [GET, /phpinfo.php, 185.223.152.160, NULL, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
