[2023-06-01 01:30:01,285659] eccube.INFO  [NULL] [e8d22c75] [NULL] [RouterListener:onKernelRequest:148] - Matched route "cart". {"route_parameters":{"_controller":"\\Eccube\\Controller\\CartController::index","_route":"cart"},"request_uri":"https://biken-shop-mall.com/cart"}  [GET, /cart, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,293433] eccube.INFO  [911a137f] [e8d22c75] [102] [LogListener:logRequest:83] - > GET /cart   [GET, /cart, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,321678] eccube.INFO  [911a137f] [e8d22c75] [102] [RouterListener:onKernelRequest:148] - Matched route "block_cart". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\CartController::index","_route":"block_cart"},"request_uri":"https://biken-shop-mall.com/block/cart"}  [GET, /cart, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,322525] eccube.INFO  [911a137f] [e8d22c75] [102] [RouterListener:onKernelRequest:148] - Matched route "block_search_product". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\SearchProductController::index","_route":"block_search_product"},"request_uri":"https://biken-shop-mall.com/block/search_product"}  [GET, /cart, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,330055] eccube.INFO  [911a137f] [e8d22c75] [102] [RouterListener:onKernelRequest:148] - Matched route "block_login". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\LoginController::index","_route":"block_login"},"request_uri":"https://biken-shop-mall.com/block/login"}  [GET, /cart, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,331357] eccube.INFO  [911a137f] [e8d22c75] [102] [LogListener:logResponse:96] - < 200   [GET, /cart, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:56:44,304147] eccube.INFO  [NULL] [8a84cc08] [NULL] [RouterListener:onKernelRequest:148] - Matched route "homepage". {"route_parameters":{"_controller":"\\Eccube\\Controller\\TopController::index","_route":"homepage"},"request_uri":"http://biken-shop-mall.com/"}  [GET, /, 211.185.121.31, https://www.bing.com, Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36]
[2023-06-01 01:56:44,304386] eccube.INFO  [NULL] [8a84cc08] [NULL] [AnonymousAuthenticationListener:handle:60] - Populated the TokenStorage with an anonymous Token.   [GET, /, 211.185.121.31, https://www.bing.com, Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36]
[2023-06-01 01:56:44,304730] eccube.INFO  [3ba18b21] [8a84cc08] [NULL] [LogListener:logRequest:83] - > GET /   [GET, /, 211.185.121.31, https://www.bing.com, Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36]
[2023-06-01 01:56:44,314011] eccube.INFO  [3ba18b21] [8a84cc08] [NULL] [RouterListener:onKernelRequest:148] - Matched route "block_cart". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\CartController::index","_route":"block_cart"},"request_uri":"http://biken-shop-mall.com/block/cart"}  [GET, /, 211.185.121.31, https://www.bing.com, Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36]
